(Total Revenue, '176,251,000', '168,088,000', '143,015,000', '125,843,000' '110,360,000')
         447116 function calls (430612 primitive calls) in 3.126 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      118    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      114    0.000    0.000    2.102    0.018 client.py:602(_safe_read)
      114    0.000    0.000    0.002    0.000 typing.py:659(__init__)
      113    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
      110    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(parent)
      102    0.000    0.000    0.000    0.000 typing.py:324(__eq__)
      100    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      100    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
      100    0.000    0.000    0.000    0.000 re.py:270(escape)
      100    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
      100    0.000    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
       98    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
       98    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:147(__enter__)
       98    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:151(__exit__)
     98/3    0.000    0.000    0.148    0.049 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
     98/3    0.000    0.000    0.149    0.050 <frozen importlib._bootstrap>:986(_find_and_load)
       97    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
       97    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
       97    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
       97    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
       97    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap>:890(_find_spec)
       97    0.000    0.000    0.000    0.000 enum.py:506(<lambda>)
    96/95    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       96    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       95    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       94    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       94    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
       94    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1302(_get_spec)
       94    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1334(find_spec)
       92    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
       92    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
       92    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
     92/4    0.000    0.000    0.148    0.037 <frozen importlib._bootstrap>:650(_load_unlocked)
       92    0.001    0.000    0.002    0.000 sre_compile.py:492(_get_charset_prefix)
       89    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
